Feature,Importance,Std
response_time_seconds,0.19319999999999998,0.012319090875547589
recent_accuracy_rate,0.10099999999999998,0.010285912696499044
module_writing,0.010300000000000009,0.003716180835212413
time_night,0.008400000000000008,0.004651881339845208
difficulty_flag,0.0064000000000000055,0.0038000000000000035
time_afternoon,0.006000000000000005,0.0028982753492378904
consecutive_correct,0.005400000000000005,0.004103656905736642
question_type_encoded,0.0047000000000000045,0.003848376280978775
hints_used_ratio,0.003500000000000003,0.003201562118716427
time_evening,0.0030000000000000027,0.002720294101747091
consecutive_incorrect,0.002300000000000002,0.003034798181098706
session_progress_ratio,0.0010000000000000009,0.0037947331922020583
therapist_assigned_level,0.0008000000000000007,0.0024819347291981735
response_time_rolling_avg,0.00040000000000000034,0.001959591794226544
time_morning,0.00010000000000000009,0.0034190641994557547
cat_clothing,0.0,0.0
cat_body_parts,-0.0005000000000000004,0.002061552812808832
exercise_duration_normalized,-0.0007000000000000006,0.00045825756949558437
hint_count,-0.0009000000000000008,0.0019723082923316037
cat_food,-0.001200000000000001,0.0030594117081556736
device_mobile_flag,-0.0013000000000000012,0.002410394158638792
cat_animals,-0.0015000000000000013,0.0017464249196572994
cue_type_encoded,-0.0028000000000000026,0.003280243893371348
module_comprehension,-0.0032000000000000028,0.0030594117081556736
